month,seller,vs_loans,vs_upb,seller_loans,vs_rate_pct,fannie_vs,freddie_vs
2026-04,NEWREZ LLC,13,7532000,8983,0.1447,0,13
2026-05,"UNITED WHOLESALE MORTGAGE, LLC",30,12264000,17504,0.1714,11,19
2026-06,"UNITED WHOLESALE MORTGAGE, LLC",1091,490043000,16234,6.7205,485,606
2026-06,"ROCKET MORTGAGE, LLC",243,68268000,24836,0.9784,164,79
2026-06,NEWREZ LLC,2,835000,6998,0.0286,0,2
2026-07,"ROCKET MORTGAGE, LLC",4038,1267689000,23742,17.0078,2213,1825
2026-07,"UNITED WHOLESALE MORTGAGE, LLC",3328,1443752000,16789,19.8225,1504,1824
2026-07,AMERISAVE MORTGAGE CORPORATION,28,7688000,501,5.5888,28,0
2026-07,"PENNYMAC LOAN SERVICES, LLC",5,2093000,5626,0.0889,5,0
2026-07,NEWREZ LLC,1,417000,5923,0.0169,0,1
