month,purpose,seller,vs_loans,vs_upb,seller_loans,vs_rate_pct,fannie_vs,freddie_vs
2026-04,rate_term_refi,NEWREZ LLC,13,7532000,2979,0.4364,0,13
2026-05,purchase,"UNITED WHOLESALE MORTGAGE, LLC",16,6436000,10607,0.1508,6,10
2026-05,cash_out_refi,"UNITED WHOLESALE MORTGAGE, LLC",7,3168000,2409,0.2906,2,5
2026-05,rate_term_refi,"UNITED WHOLESALE MORTGAGE, LLC",7,2660000,4488,0.156,3,4
2026-06,purchase,"UNITED WHOLESALE MORTGAGE, LLC",670,308950000,11144,6.0122,264,406
2026-06,purchase,"ROCKET MORTGAGE, LLC",56,23360000,11567,0.4841,40,16
2026-06,purchase,NEWREZ LLC,1,250000,4884,0.0205,0,1
2026-06,cash_out_refi,"UNITED WHOLESALE MORTGAGE, LLC",143,47265000,1980,7.2222,69,74
2026-06,cash_out_refi,"ROCKET MORTGAGE, LLC",132,29420000,7580,1.7414,89,43
2026-06,rate_term_refi,"UNITED WHOLESALE MORTGAGE, LLC",278,133828000,2871,9.683,152,126
2026-06,rate_term_refi,"ROCKET MORTGAGE, LLC",55,15488000,5277,1.0423,35,20
2026-06,rate_term_refi,NEWREZ LLC,1,585000,981,0.1019,0,1
2026-07,purchase,"UNITED WHOLESALE MORTGAGE, LLC",2273,1001127000,12457,18.2468,954,1319
2026-07,purchase,"ROCKET MORTGAGE, LLC",1434,581992000,12880,11.1335,733,701
2026-07,purchase,"PENNYMAC LOAN SERVICES, LLC",5,2093000,4478,0.1117,5,0
2026-07,cash_out_refi,"ROCKET MORTGAGE, LLC",1763,407264000,6787,25.9761,1035,728
2026-07,cash_out_refi,"UNITED WHOLESALE MORTGAGE, LLC",376,123556000,1854,20.2805,221,155
2026-07,cash_out_refi,AMERISAVE MORTGAGE CORPORATION,27,7384000,464,5.819,27,0
2026-07,rate_term_refi,"ROCKET MORTGAGE, LLC",841,278433000,4075,20.638,445,396
2026-07,rate_term_refi,"UNITED WHOLESALE MORTGAGE, LLC",679,319069000,2478,27.4011,329,350
2026-07,rate_term_refi,NEWREZ LLC,1,417000,630,0.1587,0,1
2026-07,rate_term_refi,AMERISAVE MORTGAGE CORPORATION,1,304000,17,5.8824,1,0
