month,purpose,issuer,loans,upb,vs_loans,vs_upb,vs_loan_pct,vs_upb_pct
2025-12,purchase,fannie,53152,18714933035,0,0,0.0,0.0
2025-12,purchase,freddie,62265,23373539622,0,0,0.0,0.0
2025-12,purchase,total,115417,42088472657,0,0,0.0,0.0
2025-12,cash_out_refi,fannie,10955,2910920511,0,0,0.0,0.0
2025-12,cash_out_refi,freddie,12805,3400757930,0,0,0.0,0.0
2025-12,cash_out_refi,total,23760,6311678441,0,0,0.0,0.0
2025-12,rate_term_refi,fannie,22280,9151442308,0,0,0.0,0.0
2025-12,rate_term_refi,freddie,24583,10294854000,0,0,0.0,0.0
2025-12,rate_term_refi,total,46863,19446296308,0,0,0.0,0.0
2026-01,purchase,fannie,55977,19240828570,0,0,0.0,0.0
2026-01,purchase,freddie,64400,23128182647,0,0,0.0,0.0
2026-01,purchase,total,120377,42369011217,0,0,0.0,0.0
2026-01,cash_out_refi,fannie,15668,3994675544,0,0,0.0,0.0
2026-01,cash_out_refi,freddie,12689,3207566929,0,0,0.0,0.0
2026-01,cash_out_refi,total,28357,7202242473,0,0,0.0,0.0
2026-01,rate_term_refi,fannie,23366,9467670548,0,0,0.0,0.0
2026-01,rate_term_refi,freddie,21117,8769497373,0,0,0.0,0.0
2026-01,rate_term_refi,total,44483,18237167922,0,0,0.0,0.0
2026-02,purchase,fannie,41827,14910929672,0,0,0.0,0.0
2026-02,purchase,freddie,56461,19750403446,0,0,0.0,0.0
2026-02,purchase,total,98288,34661333118,0,0,0.0,0.0
2026-02,cash_out_refi,fannie,11843,3160386227,0,0,0.0,0.0
2026-02,cash_out_refi,freddie,13965,3402224005,0,0,0.0,0.0
2026-02,cash_out_refi,total,25808,6562610232,0,0,0.0,0.0
2026-02,rate_term_refi,fannie,22139,9212783591,0,0,0.0,0.0
2026-02,rate_term_refi,freddie,24570,10036597233,0,0,0.0,0.0
2026-02,rate_term_refi,total,46709,19249380824,0,0,0.0,0.0
2026-03,purchase,fannie,57495,20908020066,0,0,0.0,0.0
2026-03,purchase,freddie,47152,17413125272,0,0,0.0,0.0
2026-03,purchase,total,104647,38321145338,0,0,0.0,0.0
2026-03,cash_out_refi,fannie,15846,4200629949,0,0,0.0,0.0
2026-03,cash_out_refi,freddie,12316,3249739314,0,0,0.0,0.0
2026-03,cash_out_refi,total,28162,7450369263,0,0,0.0,0.0
2026-03,rate_term_refi,fannie,30608,13136853847,0,0,0.0,0.0
2026-03,rate_term_refi,freddie,28110,11987110108,0,0,0.0,0.0
2026-03,rate_term_refi,total,58718,25123963955,0,0,0.0,0.0
2026-04,purchase,fannie,61310,21645212165,0,0,0.0,0.0
2026-04,purchase,freddie,56677,21018290614,0,0,0.0,0.0
2026-04,purchase,total,117987,42663502779,0,0,0.0,0.0
2026-04,cash_out_refi,fannie,16779,4259805840,0,0,0.0,0.0
2026-04,cash_out_refi,freddie,14377,3817008402,0,0,0.0,0.0
2026-04,cash_out_refi,total,31156,8076814242,0,0,0.0,0.0
2026-04,rate_term_refi,fannie,34582,14028491947,0,0,0.0,0.0
2026-04,rate_term_refi,freddie,32080,13359555277,13,7532000,0.0405,0.0564
2026-04,rate_term_refi,total,66662,27388047224,13,7532000,0.0195,0.0275
2026-05,purchase,fannie,57859,21173771564,6,2486000,0.0104,0.0117
2026-05,purchase,freddie,67681,24085970838,10,3950000,0.0148,0.0164
2026-05,purchase,total,125540,45259742402,16,6436000,0.0127,0.0142
2026-05,cash_out_refi,fannie,13434,3446281927,2,726000,0.0149,0.0211
2026-05,cash_out_refi,freddie,15583,3877875347,5,2442000,0.0321,0.063
2026-05,cash_out_refi,total,29017,7324157275,7,3168000,0.0241,0.0433
2026-05,rate_term_refi,fannie,19917,8097232256,3,1059000,0.0151,0.0131
2026-05,rate_term_refi,freddie,23554,9189665393,4,1601000,0.017,0.0174
2026-05,rate_term_refi,total,43471,17286897649,7,2660000,0.0161,0.0154
2026-06,purchase,fannie,64724,23685546409,304,142781000,0.4697,0.6028
2026-06,purchase,freddie,63122,24011475275,423,189779000,0.6701,0.7904
2026-06,purchase,total,127846,47697021684,727,332560000,0.5687,0.6972
2026-06,cash_out_refi,fannie,12667,3180648153,158,42105000,1.2473,1.3238
2026-06,cash_out_refi,freddie,12586,3146537689,117,34580000,0.9296,1.099
2026-06,cash_out_refi,total,25253,6327185843,275,76685000,1.089,1.212
2026-06,rate_term_refi,fannie,13888,5329654486,187,84958000,1.3465,1.5941
2026-06,rate_term_refi,freddie,13709,5356320617,147,64943000,1.0723,1.2125
2026-06,rate_term_refi,total,27597,10685975103,334,149901000,1.2103,1.4028
2026-07,purchase,fannie,58928,22300250559,1692,733687000,2.8713,3.29
2026-07,purchase,freddie,66600,24681852689,2020,851525000,3.033,3.45
2026-07,purchase,total,125528,46982103248,3712,1585212000,2.9571,3.3741
2026-07,cash_out_refi,fannie,11336,2791844000,1283,312538000,11.3179,11.1947
2026-07,cash_out_refi,freddie,10950,2740741247,883,225666000,8.0639,8.2338
2026-07,cash_out_refi,total,22286,5532585247,2166,538204000,9.7191,9.7279
2026-07,rate_term_refi,fannie,9939,3620874230,775,311693000,7.7976,8.6082
2026-07,rate_term_refi,freddie,10039,3707729626,747,286530000,7.441,7.7279
2026-07,rate_term_refi,total,19978,7328603856,1522,598223000,7.6184,8.1629
