cohort,loans,vs_loans,vs_loan_pct,upb,vs_upb,vs_upb_pct,complete
2025-12,71142,0,0.0,25123396071,0,0.0,0
2026-01,168593,0,0.0,59948845355,0,0.0,0
2026-02,193764,0,0.0,68370926481,0,0.0,1
2026-03,153458,1,0.0007,54801575000,439000,0.0008,1
2026-04,182960,6,0.0033,66873799000,3246000,0.0049,1
2026-05,228317,5,0.0022,84579155000,3025000,0.0036,1
2026-06,193258,6,0.0031,68118024000,2936000,0.0043,1
2026-07,167739,607,0.3619,59892347000,252972000,0.4224,1
2026-08,119594,6312,5.2779,45083518000,2439183000,5.4104,0
2026-09,25945,3991,15.3825,10754099000,1718938000,15.984,0
